,participant_id,age,agent,color,video_order,video_url,rating_enjoyment,rating_danger,rating_map_difficulty,perceived_playing_style,game_familiarity,watch_gaming_frequency,model_name,amplitude_condition,danger_condition,danger_score,map_difficulty_condition,map_difficulty_score,trajectory_unit,trajectory_model,trajectory
2889,4356-ba5d05ef-e373-4d98-af9d-dfed9417f25c,33,low_danger_high_difficulty,blue,2,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_high_difficulty_70.00_blue.mp4,,,21.0,8.0,0.0,1.0,mr_5_2_20,high,low,0.48,high,0.7,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_high_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2890,4356-ba5d05ef-e373-4d98-af9d-dfed9417f25c,33,low_danger_low_difficulty,yellow,3,mr_5_2_20_trajectory_low_amplitude_low_danger_0.039_low_difficulty_46.00_yellow.mp4,,,3.0,8.0,0.0,1.0,mr_5_2_20,low,low,0.39,low,0.46,mr_5_2_20_trajectory_low_amplitude_low_danger_0.039_low_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2891,4356-ba5d05ef-e373-4d98-af9d-dfed9417f25c,33,high_danger_low_difficulty,green,4,mr_5_2_20_trajectory_low_amplitude_high_danger_0.050_low_difficulty_46.00_green.mp4,,,1.0,8.0,0.0,1.0,mr_5_2_20,low,high,0.5,low,0.46,mr_5_2_20_trajectory_low_amplitude_high_danger_0.050_low_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2892,7982-9fac7e54-8bcc-4c79-8f64-5451dae6c515,56,high_danger_high_difficulty,red,1,mr_5_2_20_trajectory_low_amplitude_high_danger_0.055_high_difficulty_56.67_red.mp4,,11.0,,24.0,0.0,1.0,mr_5_2_20,low,high,0.55,high,0.5667,mr_5_2_20_trajectory_low_amplitude_high_danger_0.055_high_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2893,7982-9fac7e54-8bcc-4c79-8f64-5451dae6c515,56,low_danger_high_difficulty,blue,2,mr_5_2_20_trajectory_low_amplitude_low_danger_0.038_high_difficulty_55.67_blue.mp4,,15.0,,24.0,0.0,1.0,mr_5_2_20,low,low,0.38,high,0.5567,mr_5_2_20_trajectory_low_amplitude_low_danger_0.038_high_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2894,7982-9fac7e54-8bcc-4c79-8f64-5451dae6c515,56,low_danger_low_difficulty,yellow,3,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_low_difficulty_53.67_yellow.mp4,,18.0,,24.0,0.0,1.0,mr_5_2_20,high,low,0.48,low,0.5367000000000001,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_low_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2895,7982-9fac7e54-8bcc-4c79-8f64-5451dae6c515,56,high_danger_low_difficulty,green,4,mr_5_2_20_trajectory_high_amplitude_high_danger_0.060_low_difficulty_52.67_green.mp4,,17.0,,24.0,0.0,1.0,mr_5_2_20,high,high,0.6,low,0.5267000000000001,mr_5_2_20_trajectory_high_amplitude_high_danger_0.060_low_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2896,7564-37dcab36-66d5-4e1f-993d-873d21b586fa,29,high_danger_high_difficulty,blue,1,unlimited_trajectory_high_amplitude_high_danger_0.052_high_difficulty_65.33_blue.mp4,,75.0,,69.0,2.0,3.0,unlimited,high,high,0.52,high,0.6533,unlimited_trajectory_high_amplitude_high_danger_0.052_high_difficulty,unlimited,unlimited_high_amplitude
2897,7564-37dcab36-66d5-4e1f-993d-873d21b586fa,29,low_danger_high_difficulty,yellow,2,unlimited_trajectory_high_amplitude_low_danger_0.044_high_difficulty_65.33_yellow.mp4,,44.0,,69.0,2.0,3.0,unlimited,high,low,0.43999999999999995,high,0.6533,unlimited_trajectory_high_amplitude_low_danger_0.044_high_difficulty,unlimited,unlimited_high_amplitude
2898,7564-37dcab36-66d5-4e1f-993d-873d21b586fa,29,low_danger_low_difficulty,green,3,unlimited_trajectory_low_amplitude_low_danger_0.039_low_difficulty_48.00_green.mp4,,57.0,,69.0,2.0,3.0,unlimited,low,low,0.39,low,0.48,unlimited_trajectory_low_amplitude_low_danger_0.039_low_difficulty,unlimited,unlimited_low_amplitude
